# Constructed from biom file
#OTU ID	SRR34584690	SRR34584691	SRR34584692	SRR34584693	SRR34584694	SRR34584695	SRR34584696	SRR34584697	SRR34584698	SRR34584699	SRR34584700	SRR34584701
8b73e46cb8fcb97a06c1cc5363bfeaf6	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0
6863cacd3fd3fcd67dfbf342df7d0334	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
a720a4e1805cb5ef1ba870c5461e4724	0.0	0.0	0.0	0.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0
c52657dae7063f21a6e10e7f307c90bd	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
c0dd6505cc4f203846bd4b6cd6547682	0.0	0.0	0.0	0.0	0.0	275.0	0.0	0.0	0.0	0.0	0.0	0.0
3ab8ba349187385303758e814442092d	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
0909aef261f034f083ff5b3582f7694e	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0
252b9224f750c6b102374f6f43add657	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
2a81b6ad908fc5d65368be2a9914cafd	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
3ad028c28cf5cf474dd0def95a3617e9	0.0	0.0	0.0	0.0	0.0	414.0	0.0	0.0	0.0	0.0	0.0	0.0
9f155af968408424fd4d16d17ef68c23	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0
57d0112a6f1949bb025763b48887a749	0.0	0.0	0.0	0.0	0.0	803.0	0.0	0.0	0.0	0.0	0.0	0.0
bf3e9fa4a574ec78b76f14314689da6c	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0
bbcf28eb8fe2b70622adc639aee4acd4	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
a3908ba84df6f5d9473693fa424619a2	0.0	0.0	0.0	0.0	0.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0
51791ed209ae10a290fb90248b219671	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
